
========================================================================================================================
【파일】 1986_1990_sermon.txt  (총 169편)
========================================================================================================================
날짜                                  | 제목                                                 | 주요     | 보조
2003년 2월 16일 주일설교                   | 풀어놓아 다니게 하라                                        | 말      | 
2003년 2월 23일 주일2부설교                 | 너를 낮추시며 마침내 복을 주려 하심이라                             | 기타     | 
2003년 3월 2일 주일2부설교                  | 탐욕을 십자가에 못 박으라                                     | 생각     | 
2003년 3월 9일 주일2부설교                  | 왜 하나님은 악을 방관하시는가?                                  | 기타     | 
N/A (2003년 봄)                       | 저가 남은 구원하였으되 자기는 구할 수 없도다                          | 기타     | 
N/A (2003년 봄)                       | 부활의 기쁨                                             | 기타     | 
N/A (2003년 봄)                       | 야웨는 나의 목자시니 (Ⅳ)                                    | 기타     | 
2003년 5월 4일 주일2부설교                  | 야웨의 주신 기업                                          | 기타     | 
2003년 5월 11일 주일2부설교                 | 바울의 회심과 증언                                         | 말      | 
2003년 5월 18일 주일2부설교                 | 에벤에셀, 하나님이 여기까지 도우셨다                               | 기타     | 
2003년 5월 25일 주일2부설교                 | 믿고 참고 기다려라                                         | 믿음     | 
N/A (2003년 봄)                       | 삶이 실타래 같이 헝클어질 때                                   | 기타     | 
2003년 6월 8일 주일2부설교                  | 내가 너희를 고아와 같이 버려두지 아니하고                            | 기타     | 
N/A (2003년 여름)                      | 평안을 너희에게 끼치노니                                      | 기타     | 
N/A (2003년 여름)                      | 오호라 나는 곤고한 사람이로다                                   | 기타     | 
2003년 8월 3일 주일2부설교                  | 주인과 품꾼                                             | 기타     | 
N/A (2003년 여름)                      | 고난속에 피는 부활의 꽃                                      | 기타     | 
N/A (2003년 여름)                      | 네가 알지 못하는 크고 비밀한 일                                 | 꿈      | 
2003년 11월 9일 주일2부설교                 | 삼대재앙과 삼중축복                                         | 기타     | 
2003년 11월 16일 주일2부설교                | 평범 속에서 감사하라                                        | 기타     | 
2003년 11월 23일 주일2부설교                | 천국과 지옥                                             | 기타     | 
N/A (2003년 가을)                      | 영원한 절대긍정                                           | 생각     | 
2003년 12월 14일 주일2부 설교               | 하나님의 평강                                            | 기타     | 
2003년 12월 21일 주일3부 설교               | 시각차                                                | 생각     | 
2003년 12월 28일 주일2부설교                | 잘못을 뉘우치고 새해로 가자                                    | 기타     | 
2004년 1월 4일 주일2부설교                  | 새해를 이렇게 살자                                         | 기타     | 
2004년 1월 11일 주일2부설교                 | 이 보배를 질그릇 안에                                       | 기타     | 
2004년 1월 18일 주일3부설교                 | 둘째 아들의 착각                                          | 기타     | 
2004년 1월 25일 주일2부 설교                | 믿음은                                                | 믿음     | 
2004년 2월 8일 주일 2부 설교                | 포도나무와 가지 (재설교)                                     | 기타     | 
N/A (2004년 봄)                       | 쿠션이 없는 삶                                           | 기타     | 
2004년 3월 21일 주일2부설교                 | 주께서 가르치신 기도 (Ⅰ)                                    | 기타     | 
2004년 3월 28일 주일3부설교                 | 주께서 가르치신 기도 (Ⅱ)                                    | 기타     | 
N/A (2004년 봄)                       | 하나님의 주신 기업                                         | 기타     | 
N/A (2004년 봄)                       | 아내 사랑, 남편 존중                                       | 기타     | 
2004년 5월 16일 주일3부설교                 | 청년 때 창조자를 기억하라                                     | 기타     | 
N/A (2004년 여름)                      | 마귀를 대적하라                                           | 기타     | 
2004년 8월 29일 주일2부설교                 | 기도, 어떻게 할 것인가?                                     | 기타     | 
2004년 11월 28일 주일2부 설교               | 하나님보다 더 신령한 사람들                                    | 기타     | 
2004년 12월 5일 주일 3부 설교               | 모든 것이 합력하여 선을 이루느니라                                | 기타     | 
2005년 7월 17일 주일 2부 설교               | 하나님이 보시는 나                                         | 생각     | 
2005년 8월 7일 주일 3부 설교                | 구 원                                                | 기타     | 
2005년 9월 4일 주일 3부 설교                | 가시와 영광                                             | 기타     | 
2005년 9월 11일 주일 2부 설교               | 패배자는 설 곳이 없다                                       | 믿음     | 
2005년 9월 18일 주일 3부설교                | 신분                                                 | 생각     | 
2005년 10월 9일 주일 2부 설교               | 주님의 선하심과 인자하심                                      | 기타     | 
2005년 12월 18일 주일 3부설교               | 예정과 예비                                             | 꿈      | 믿음
2005년 12월 25일 성탄주일3부설교              | 크리스마스 때 오신 그 사람                                    | 기타     | 

--- 2001_2005_sermon.txt 카테고리별 통계 ---
  생각    :  12편 (  8.4%)
  꿈     :   8편 (  5.6%)
  믿음    :   7편 (  4.9%)
  말     :   4편 (  2.8%)
  기타    : 112편 ( 78.3%)
  합계   : 143편

========================================================================================================================
【파일】 2006_2010_sermon.txt  (총 86편)
========================================================================================================================
날짜                                  | 제목                                                 | 주요     | 보조
------------------------------------------------------------------------------------------------------------------------
2006년 1월 1일 주일                      | 새해를 시작하면서                                          | 생각     | 
2006년 1월 8일 주일3부설교                  | 믿음으로 행하고 보는 것으로 하지 않음                              | 믿음     | 
2006년 1월 15일 주일2부 설교                | 자유와 해방 공간                                          | 기타     | 
2006년 1월 22일 주일3부 설교                | 하나님, 우리 하나님                                        | 기타     | 
2006년 1월 29일 주일2부 설교                | 하나님은 사랑이시다                                         | 기타     | 
2006년 2월 5일 주일3부 설교                 | 내적 저항력                                             | 생각     | 믿음
2006년 2월 12일 주일2부 설교                | 항상 기도하고 낙심치 말라                                     | 기타     | 
2006년 2월 19일 주일3부 설교                | 하나님을 욕되게 하는 죄                                      | 기타     | 
2006년 2월 26일 주일2부 설교                | 시간에서 영원으로                                          | 기타     | 
2006년 3월 5일 주일3부 설교                 | 사망이 낳는 생명                                          | 기타     | 
2006년 3월 12일 주일2부 설교                | 시몬 베드로, 갈대냐 반석이냐?                                  | 기타     | 
2006년 3월 19일 주일3부 설교                | 길                                                  | 기타     | 
2006년 3월 26일 주일2부 설교                | 수고하고 무거운 짐진 자 내게 배우라                               | 기타     | 
2006년 4월 2일 주일3부 설교                 | 나는 누구인가?                                           | 생각     | 
2006년 4월 9일 주일2부 설교                 | 하나님의 사랑                                            | 기타     | 
2006년 4월 16일 부활 주일2부 설교             | 부활하신 예수님                                           | 기타     | 
2006년 4월 23일 주일3부 설교                | 어찌하여 이런 일이                                         | 기타     | 
2006년 5월 7일 어린이주일 2부설교              | 알고 통하는 고난과 모르고 통하는 고난                              | 기타     | 
2006년 5월 14일 어버이주일 3부 설교            | 왜 삼중축복인가?                                          | 기타     | 
2006년 5월 21일 주일2부설교                 | 나의 갈 길 다 가도록                                       | 기타     | 
2006년 5월 28일 주일3부 설교                | 벼랑 끝에 서게 될 때                                       | 믿음     | 
2006년 6월 4일 성령강림주일 2부 설교            | 성령강림의 축복                                           | 기타     | 
2006년 6월 11일 주일3부 설교                | 말씀 위에 선 믿음                                         | 믿음     | 말
2006년 6월 18일 주일2부 설교                | 영원한 행복의 길                                          | 기타     | 
2006년 6월 25일 주일3부 설교                | 받은 복과 누리는 복                                        | 기타     | 
2006년 7월 9일 주일2부 설교                 | 알고 믿고 확신한 데 거하라                                    | 믿음     | 
2006년 7월 16일 주일2부 설교                | 자승자박(自繩自縛)                                         | 기타     | 
2006년 7월 23일 주일3부 설교                | 욕망이란 우상                                            | 생각     | 
2006년 7월 30일 주일3부 설교                | 율법과 은혜                                             | 기타     | 
2006년 8월 6일 주일2부 설교                 | 축복의 노다지                                            | 기타     | 
2006년 8월 13일 주일3부 설교                | 극복하는 신앙                                            | 믿음     | 
